"bird_id","mark_color","R_top","R_bottom","L_top","L_bottom","territory","name","sex","age","dist Punt dal Gal (m)"
"S228.001","met/yel - yel/bla","alu","yellow","yellow","black","SP2402","Johann","M","U","430"
"S228.002","red/whi - gre/met","red","white","green","alu","SP2402","Liseli","F","U","430"
"S228.003","met/gre - bla/vio","alu","green","black","violet","SP2401","Glauco","M","3","20"
"S228.004","met/bla - bla/red","alu","black","black","red","SP2401","Dominique","F","2","20"
"S228.005","met/blu - yel/gre","alu","blue","yellow","green","SP2401","Lukas","M","2","20"
"S228.006","gre/yel - met/red","green","yellow","alu","red","SP2409","Curdin","M","2","1000"
"S228.007","red/met - gre/red","red","alu","green","red","SP2409","Steivan","M","2","1000"
"S228.008","blu/whi - met/whi","blue","white","alu","white","SP2405","Nino","M","3","1640"
"S228.009","met/yel - gre/vio","alu","yellow","green","violet","SP2514","Claudio","M","3","4220"
"S228.010","whi/bla - red/met","white","black","red","alu","SP2513","Bebbi","M","2","4770"
"S228.011","gre/met - yel/whi","green","alu","yellow","white","SP2513","Ursina","F","2","4770"
"S228.012","met/bla - yel/bla","alu","black","yellow","black","SP2516","Zoe","F","2","3050"
"S228.013","met/red - yel/gre","alu","red","yellow","green","US2504put","Kai","M","2","3460"
"S228.014","met/pin - yel/pin","alu","pink","yellow","pink","SP2402",NULL,"U","0","430"
"S228.015","met/pin - yel/red","alu","pink","yellow","red","SP2402",NULL,"U","0","430"
"S228.016","met/pin - yel/whi","alu","pink","yellow","white","SP2402",NULL,"U","0","430"
"S228.017","met/pin - yel/gre","alu","pink","yellow","green","SP2402",NULL,"U","0","430"
"S228.018","met/yel - yel/red","alu","yellow","yellow","red","SP2516",NULL,"M","3","3050"
"S228.019","met/red - yel/blu","alu","red","yellow","blue","SP2516",NULL,"U","0","3050"
"S228.020","met/vio - yel/whi","alu","violet","yellow","white","SP2516",NULL,"U","0","3050"
"S228.021","whi/met - red/vio","white","alu","red","violet","OF2502",NULL,"M","2","12730"
"S228.022","met/blu - gre/whi","alu","blue","green","white","OF2502",NULL,"F","3","12730"
"S228.023","bla/yel - met/gre","black","yellow","alu","green","OF2502",NULL,"U","0","12730"
"S228.024","bla/yel - met/blu","black","yellow","alu","blue","OF2502",NULL,"U","0","12730"
"S228.025",NULL,NULL,NULL,NULL,NULL,"OF2502",NULL,"U","0","12730"
"S228.026","gre/bla - met/red","green","black","alu","red","OF2502",NULL,"U","0","12730"
"S228.027","met/blu - bla/yel","alu","blue","black","yellow","SP2401","Fadri","U",NULL,"20"
"S228.028","whi/red - met/whi","white","red","alu","white","SP2401",NULL,"U",NULL,"20"
"S228.029","whi/yel - met/pin","white","yellow","alu","pink","SP2409",NULL,"U",NULL,"1000"
"S228.030","whi/gre - met/bla","white","green","alu","black","SP2409",NULL,"U",NULL,"1000"
"S228.031","gre/blu - met/blu","green","blue","alu","blue","SP2512",NULL,"U",NULL,"1260"
"S228.032","whi/red - bla/met","white","red","black","alu","SP2512",NULL,"U",NULL,"1260"
"S228.033","pin/met - whi/vio","pink","alu","white","violet","SP2401",NULL,"F","2","20"
"S228.034","blu/met - blu/pin","blue","alu","blue","pink","SP2401",NULL,"M","2","20"
"S228.035","bla/met - pin/yel","black","alu","pink","yellow","SP2401","Agostino","M","3","20"
"S228.036","yel/met - vio/pin","yellow","alu","violet","pink","SP2518","Livia","F","1","4420"
"S228.037","vio/met - vio/blu","violet","alu","violet","blue","SP2514",NULL,"U",NULL,"4220"
